Date,Close,High,Low,Open,Volume
2020-01-01,459.32281494140625,460.08575273640423,455.2270668391104,457.2749653983789,918373
2020-01-02,460.6076965332031,461.7721753002514,458.1583061022494,459.80461448920266,1075642
2020-01-03,469.84307861328125,472.61372110610455,460.0454691541394,460.9690329904911,3269446
2020-01-06,467.3936462402344,475.5850910806798,465.3457972841798,469.80289183941085,3589985
2020-01-07,469.2005920410156,472.01137864288734,465.0245564292748,467.3936577969552,3179728
2020-01-08,470.4053649902344,476.22771052361753,464.1814783855834,468.19688909826147,3593096
2020-01-09,466.0284423828125,472.33266505407255,465.185216144709,470.60601926767276,2313648
2020-01-10,466.06854248046875,473.65767593620285,463.69949018288537,467.39364716914025,2049636
2020-01-13,471.0075378417969,473.81832451263455,466.59058735905194,468.95968878486104,4096054
2020-01-14,477.2716369628906,479.7612206465264,471.52962990220044,471.5697742001449,3395378
2020-01-15,478.4361877441406,480.4840374100442,475.18371486108856,479.44004042509766,2348102
2020-01-16,476.42840576171875,480.4839601373112,471.2083726602418,479.43996332026313,2107442
2020-01-17,480.885498046875,483.455370283523,469.8029761060813,469.8029761060813,4555694
2020-01-20,473.21600341796875,496.30460774256204,469.0801120802893,496.30460774256204,10272118
2020-01-21,469.03997802734375,476.4283413757338,467.6747289820603,473.25615803951837,2640668
2020-01-22,474.3404541015625,477.833841572106,466.99223340198256,469.9636469259312,4402650
2020-01-23,481.00592041015625,481.8090023211787,471.4090817701917,473.89861608786936,6089397
2020-01-24,489.6679992675781,490.7154937695832,479.83756410474024,482.65776809192175,3551260
2020-01-27,486.96875,489.9098402592694,484.8737604868674,489.6681182662874,2450421
2020-01-28,484.6317443847656,489.3857712965505,477.5006302464333,489.34549251890866,5330709
2020-01-29,490.5946044921875,492.7299214527581,485.2362464654464,487.4923998019929,4281329
2020-01-30,489.7889099121094,494.6235460517915,486.4047039587016,493.13288624757433,3334901
2020-01-31,476.533935546875,490.63495605381974,475.0835055217955,489.7888554790378,3590768
2020-02-03,466.6229553222656,478.34698756280136,465.33373866222655,476.53399897061087,4024193
2020-02-04,472.5855407714844,474.80141500357576,469.3624509793515,469.7653372033681,3246094
2020-02-05,479.9181213378906,482.25488145488305,472.1827243651821,474.92237076576254,3006324
2020-02-06,483.221923828125,493.93869147426307,481.8521003288896,482.61759427085633,4704968
2020-02-07,489.6679992675781,490.87665811922733,482.7786536492685,484.79308506868387,2865379
2020-02-10,487.41192626953125,492.77028522029207,484.7931649925576,490.63501707196036,2286213
2020-02-11,492.0450134277344,494.5428885899795,488.0564295818347,488.2981515039146,2458748
2020-02-12,494.8248596191406,499.9818231562681,491.7629340354177,493.93852956453236,4873027
2020-02-13,493.4953308105469,494.7039894462913,486.7268227781996,493.13272338373434,2090363
2020-02-14,500.90850830078125,502.1977246646429,493.3342269168514,493.49539125744707,3650630
2020-02-17,494.3011474609375,502.39915120888804,493.4147682071505,501.9962649609258,2190578
2020-02-18,489.144287109375,496.19479793759814,487.61334855209435,494.30125184448815,5237465
2020-02-19,488.09674072265625,498.1688979806558,486.6866387065363,495.106972010315,3799862
2020-02-20,489.949951171875,493.89825603267263,487.6132404664731,492.32698984601035,4820313
2020-02-24,479.55560302734375,490.7155343414142,476.6145132396494,489.9097617070276,4070143
2020-02-25,469.322265625,479.9987526868989,463.3192498559918,479.8375883291185,5525575
2020-02-26,470.2488708496094,474.64034136655016,463.72213244566706,464.8502337606368,5460070
2020-02-27,461.7480163574219,469.28202029185536,457.67887423072324,469.0402491477172,4078174
2020-02-28,430.5644836425781,454.4556561607988,428.0263299648417,451.23256640079313,7894806
2020-03-02,442.9332275390625,455.9464260931903,433.3847923007887,435.96327457029776,8175982
2020-03-03,455.3017883300781,458.2831567241992,447.2037837044933,448.00955628774466,4682284
2020-03-04,453.7305603027344,463.64160325870125,452.03845740708425,458.4846386178804,5175180
2020-03-05,464.4473571777344,468.87910658141334,453.77086997796243,457.6788475072053,6061347
2020-03-06,456.2283935546875,462.47313035055316,450.86998682540997,459.29031917979614,3288548
2020-03-09,435.47979736328125,449.62109619793165,432.2567070679556,447.20377847643744,3699776
2020-03-11,432.5386962890625,437.25249522884013,414.1670919305677,424.4406919735925,4850031
2020-03-12,397.5279235839844,425.2867753506571,391.8875152923829,419.8075314177643,5321388
2020-03-13,397.1653137207031,416.7858816512332,319.04567409864484,370.6553998251663,6859998
2020-03-16,363.1617126464844,386.60967511715205,360.059483286859,377.90734106517516,5281571
2020-03-17,363.1214294433594,385.64278420434016,357.2392991022886,362.59768215384963,5148153
2020-03-18,349.9067687988281,374.5231131062118,345.7167412361873,366.6265510730381,4936397
2020-03-19,333.14666748046875,350.18875183362576,302.3661465257054,337.5381130822691,9270044
2020-03-20,358.4881896972656,372.22662593531,331.85741771264117,333.1869374543291,11916337
2020-03-23,336.1280212402344,357.76301957156,322.6716341321071,334.3956151400842,9525470
2020-03-24,356.1917724609375,369.72876706484294,331.85745438989585,332.7840879734712,9915953
2020-03-25,368.7214660644531,377.1014943542815,336.61143005662626,348.0936870962598,11976272
2020-03-26,360.744384765625,376.09434218977015,355.4262809542695,371.54173214611825,9504717
2020-03-27,347.00592041015625,368.6006380524738,338.8273344955501,362.7990662464243,9150873
2020-03-30,337.61871337890625,353.4521397684872,330.36676010823766,330.36676010823766,6325701
2020-03-31,351.63909912109375,362.1141411754219,342.6950198335841,349.0606419849321,6381806
2020-04-01,333.2272033691406,349.06065246819225,328.91634022026386,348.8994881341188,8136746
2020-04-03,326.9825134277344,345.35414358457035,321.7449914927544,337.53813947627816,8166356
2020-04-07,363.5242919921875,369.0035602517869,342.45334409143084,342.45334409143084,5972948
2020-04-08,373.1531982421875,384.1922652167108,361.79180263990554,363.4033474178116,7991061
2020-04-09,377.9476318359375,387.576624334817,372.26694478728785,387.334902388579,5069225
2020-04-13,369.24530029296875,379.51890111945073,365.82076668414146,378.713128505609,2236731
2020-04-15,385.7635803222656,388.3823409197536,372.83094166922274,378.7130710213365,6333188
2020-04-16,370.4539489746094,383.54775358763254,367.9963524064101,381.13043581292055,10484842
2020-04-17,366.8279724121094,382.7419810999494,365.5387313472008,378.71311814100255,4706460
2020-04-20,378.7131042480469,381.6138903901199,365.41785697125374,369.0438335012882,4800719
2020-04-21,367.1905517578125,374.6439476603271,360.8652324792548,369.04381874072567,3405204
2020-04-22,372.58917236328125,378.269882835048,362.5975989978302,365.0149163244824,3768051
2020-04-23,384.9176025390625,387.3751992714112,372.58926631045233,374.68428010651314,3052968
2020-04-24,377.1821594238281,400.38840049516375,374.80512041492744,386.7708484571151,6738184
2020-04-27,389.26873779296875,391.36375141619914,376.49723749908486,381.21101200379627,2914569
